Meas,Label,Data
7,POCKET-1 X Top,25.295
7,POCKET-2 X Top,25.28
7,POCKET-3 X Top,25.294
7,POCKET-1 Y Top,40.296
7,POCKET-2 Y Top,40.291
7,POCKET-3 Y Top,40.263
7,POCKET-1 X Bottom,25.253
7,POCKET-2 X Bottom,25.266
7,POCKET-3 X Bottom,25.272
7,POCKET-1 Y Bottom,40.238
7,POCKET-2 Y Bottom,40.226
7,POCKET-3 Y Bottom,40.258
8,EL,322.6
8,OL,315.139
8,TOW,135.94
8,BOW,135.873
8,TSL,311.262
8,BSL,311.787
8,TSW,132.136
8,BSW,132.812
8,TT,12.164
8,ST(A),10.148
8,ST(B),10.101
8,ST(C),10.137
8,ST(D),10.138
8,ST(E),10.116
8,ST(F),10.138
8,POCKET-1 X Top,25.307
8,POCKET-2 X Top,25.291
8,POCKET-3 X Top,25.283
8,POCKET-1 Y Top,40.287
8,POCKET-2 Y Top,40.293
8,POCKET-3 Y Top,40.263
8,POCKET-1 X Bottom,25.243
8,POCKET-2 X Bottom,25.267
8,POCKET-3 X Bottom,25.273
8,POCKET-1 Y Bottom,40.248
8,POCKET-2 Y Bottom,40.241
8,POCKET-3 Y Bottom,40.256
9,EL,322.614
9,OL,315.139
9,TOW,135.932
9,BOW,135.873
9,TSL,311.283
9,BSL,311.799
9,TSW,132.131
9,BSW,132.811
9,TT,12.149
9,ST(A),10.145
9,ST(B),10.098
9,ST(C),10.136
9,ST(D),10.134
9,ST(E),10.13
9,ST(F),10.135
9,POCKET-1 X Top,25.296
9,POCKET-2 X Top,25.288
9,POCKET-3 X Top,25.297
9,POCKET-1 Y Top,40.299
9,POCKET-2 Y Top,40.299
9,POCKET-3 Y Top,40.273
9,POCKET-1 X Bottom,25.263
9,POCKET-2 X Bottom,25.252
9,POCKET-3 X Bottom,25.279
9,POCKET-1 Y Bottom,40.234
9,POCKET-2 Y Bottom,40.24
9,POCKET-3 Y Bottom,40.249
10,EL,322.616
10,OL,315.158
10,TOW,135.931
10,BOW,135.877
10,TSL,311.283
10,BSL,311.812
10,TSW,132.135
10,BSW,132.808
10,TT,12.152
10,ST(A),10.135
10,ST(B),10.107
10,ST(C),10.14
10,ST(D),10.149
10,ST(E),10.116
10,ST(F),10.144
10,POCKET-1 X Top,25.303
10,POCKET-2 X Top,25.279
10,POCKET-3 X Top,25.283
10,POCKET-1 Y Top,40.288
10,POCKET-2 Y Top,40.283
10,POCKET-3 Y Top,40.257
10,POCKET-1 X Bottom,25.259
10,POCKET-2 X Bottom,25.262
10,POCKET-3 X Bottom,25.262
10,POCKET-1 Y Bottom,40.236
10,POCKET-2 Y Bottom,40.236
10,POCKET-3 Y Bottom,40.252
11,EL,322.608
11,OL,315.156
11,TOW,135.928
11,BOW,135.866
11,TSL,311.261
11,BSL,311.803
11,TSW,132.132
11,BSW,132.802
11,TT,12.161
11,ST(A),10.138
11,ST(B),10.118
11,ST(C),10.141
11,ST(D),10.141
11,ST(E),10.112
11,ST(F),10.137
11,POCKET-1 X Top,25.308
11,POCKET-2 X Top,25.289
11,POCKET-3 X Top,25.291
11,POCKET-1 Y Top,40.284
11,POCKET-2 Y Top,40.289
11,POCKET-3 Y Top,40.271
11,POCKET-1 X Bottom,25.247
11,POCKET-2 X Bottom,25.256
11,POCKET-3 X Bottom,25.26
11,POCKET-1 Y Bottom,40.241
11,POCKET-2 Y Bottom,40.236
11,POCKET-3 Y Bottom,40.261
12,EL,322.614
12,OL,315.146
12,TOW,135.917
12,BOW,135.869
12,TSL,311.274
12,BSL,311.813
12,TSW,132.137
12,BSW,132.827
12,TT,12.164
12,ST(A),10.13
12,ST(B),10.1
12,ST(C),10.131
12,ST(D),10.135
12,ST(E),10.133
12,ST(F),10.135
12,POCKET-1 X Top,25.3
12,POCKET-2 X Top,25.284
12,POCKET-3 X Top,25.288
12,POCKET-1 Y Top,40.296
12,POCKET-2 Y Top,40.293
12,POCKET-3 Y Top,40.269
12,POCKET-1 X Bottom,25.254
12,POCKET-2 X Bottom,25.263
12,POCKET-3 X Bottom,25.273
12,POCKET-1 Y Bottom,40.242
12,POCKET-2 Y Bottom,40.237
12,POCKET-3 Y Bottom,40.26
13,EL,322.614
13,OL,315.15
13,TOW,135.932
13,BOW,135.868
13,TSL,311.265
13,BSL,311.793
13,TSW,132.148
13,BSW,132.81
13,TT,12.143
13,ST(A),10.143
13,ST(B),10.107
13,ST(C),10.131
13,ST(D),10.132
13,ST(E),10.122
13,ST(F),10.147
13,POCKET-1 X Top,25.307
13,POCKET-2 X Top,25.288
13,POCKET-3 X Top,25.288
13,POCKET-1 Y Top,40.296
13,POCKET-2 Y Top,40.301
13,POCKET-3 Y Top,40.263
13,POCKET-1 X Bottom,25.257
13,POCKET-2 X Bottom,25.264
13,POCKET-3 X Bottom,25.26
13,POCKET-1 Y Bottom,40.239
13,POCKET-2 Y Bottom,40.227
13,POCKET-3 Y Bottom,40.249
14,EL,322.591
14,OL,315.14
14,TOW,135.929
14,BOW,135.873
14,TSL,311.258
14,BSL,311.788
14,TSW,132.156
14,BSW,132.819
14,TT,12.149
14,ST(A),10.13
14,ST(B),10.114
14,ST(C),10.143
14,ST(D),10.137
14,ST(E),10.123
14,ST(F),10.139
14,POCKET-1 X Top,25.303
14,POCKET-2 X Top,25.281
14,POCKET-3 X Top,25.296
14,POCKET-1 Y Top,40.297
14,POCKET-2 Y Top,40.293
14,POCKET-3 Y Top,40.254
14,POCKET-1 X Bottom,25.248
14,POCKET-2 X Bottom,25.256
14,POCKET-3 X Bottom,25.272
14,POCKET-1 Y Bottom,40.247
14,POCKET-2 Y Bottom,40.235
14,POCKET-3 Y Bottom,40.261
15,EL,322.592
15,OL,315.142
15,TOW,135.915
15,BOW,135.88
15,TSL,311.26
15,BSL,311.796
15,TSW,132.146
15,BSW,132.815
15,TT,12.159
15,ST(A),10.148
15,ST(B),10.113
15,ST(C),10.137
15,ST(D),10.144
15,ST(E),10.132
15,ST(F),10.143
15,POCKET-1 X Top,25.289
15,POCKET-2 X Top,25.278
15,POCKET-3 X Top,25.3
15,POCKET-1 Y Top,40.296
15,POCKET-2 Y Top,40.293
15,POCKET-3 Y Top,40.274
15,POCKET-1 X Bottom,25.26
15,POCKET-2 X Bottom,25.26
15,POCKET-3 X Bottom,25.278
15,POCKET-1 Y Bottom,40.241
15,POCKET-2 Y Bottom,40.241
15,POCKET-3 Y Bottom,40.258
16,EL,322.62
16,OL,315.149
16,TOW,135.93
16,BOW,135.855
16,TSL,311.28
16,BSL,311.788
16,TSW,132.146
16,BSW,132.811
16,TT,12.148
16,ST(A),10.134
16,ST(B),10.1
16,ST(C),10.142
16,ST(D),10.15
16,ST(E),10.126
16,ST(F),10.149
16,POCKET-1 X Top,25.291
16,POCKET-2 X Top,25.29
16,POCKET-3 X Top,25.29
16,POCKET-1 Y Top,40.296
16,POCKET-2 Y Top,40.302
16,POCKET-3 Y Top,40.262
16,POCKET-1 X Bottom,25.247
16,POCKET-2 X Bottom,25.259
16,POCKET-3 X Bottom,25.272
16,POCKET-1 Y Bottom,40.243
16,POCKET-2 Y Bottom,40.237
16,POCKET-3 Y Bottom,40.262
17,EL,322.605
17,OL,315.148
17,TOW,135.92
17,BOW,135.857
17,TSL,311.272
17,BSL,311.811
17,TSW,132.14
17,BSW,132.821
17,TT,12.141
17,ST(A),10.141
17,ST(B),10.097
17,ST(C),10.127
17,ST(D),10.153
17,ST(E),10.119
17,ST(F),10.15
17,POCKET-1 X Top,25.29
17,POCKET-2 X Top,25.286
17,POCKET-3 X Top,25.293
17,POCKET-1 Y Top,40.299
17,POCKET-2 Y Top,40.282
17,POCKET-3 Y Top,40.259
17,POCKET-1 X Bottom,25.259
17,POCKET-2 X Bottom,25.265
17,POCKET-3 X Bottom,25.275
17,POCKET-1 Y Bottom,40.238
17,POCKET-2 Y Bottom,40.228
17,POCKET-3 Y Bottom,40.245
18,EL,322.611
18,OL,315.136
18,TOW,135.931
18,BOW,135.862
18,TSL,311.273
18,BSL,311.793
18,TSW,132.132
18,BSW,132.815
18,TT,12.153
18,ST(A),10.142
18,ST(B),10.098
18,ST(C),10.129
18,ST(D),10.133
18,ST(E),10.115
18,ST(F),10.137
18,POCKET-1 X Top,25.288
18,POCKET-2 X Top,25.274
18,POCKET-3 X Top,25.283
18,POCKET-1 Y Top,40.288
18,POCKET-2 Y Top,40.287
18,POCKET-3 Y Top,40.262
18,POCKET-1 X Bottom,25.262
18,POCKET-2 X Bottom,25.268
18,POCKET-3 X Bottom,25.264
18,POCKET-1 Y Bottom,40.241
18,POCKET-2 Y Bottom,40.223
18,POCKET-3 Y Bottom,40.264
19,EL,322.591
19,OL,315.136
19,TOW,135.929
19,BOW,135.881
19,TSL,311.284
19,BSL,311.785
19,TSW,132.146
19,BSW,132.815
19,TT,12.163
19,ST(A),10.13
19,ST(B),10.118
19,ST(C),10.142
19,ST(D),10.14
19,ST(E),10.118
19,ST(F),10.14
19,POCKET-1 X Top,25.289
19,POCKET-2 X Top,25.279
19,POCKET-3 X Top,25.295
19,POCKET-1 Y Top,40.292
19,POCKET-2 Y Top,40.3
19,POCKET-3 Y Top,40.257
19,POCKET-1 X Bottom,25.261
19,POCKET-2 X Bottom,25.254
19,POCKET-3 X Bottom,25.27
19,POCKET-1 Y Bottom,40.236
19,POCKET-2 Y Bottom,40.23
19,POCKET-3 Y Bottom,40.25
20,EL,322.611
20,OL,315.149
20,TOW,135.926
20,BOW,135.875
20,TSL,311.259
20,BSL,311.788
20,TSW,132.155
20,BSW,132.812
20,TT,12.149
20,ST(A),10.134
20,ST(B),10.102
20,ST(C),10.124
20,ST(D),10.148
20,ST(E),10.129
20,ST(F),10.146
20,POCKET-1 X Top,25.289
20,POCKET-2 X Top,25.292
20,POCKET-3 X Top,25.298
20,POCKET-1 Y Top,40.291
20,POCKET-2 Y Top,40.288
20,POCKET-3 Y Top,40.257
